Date,oof_prediction,pred_z,abs_pred_z,y_next_log_return,target_up,target_correct,Macro_Fast,Market_State
2015-08-15,-0.0003347322801809,-0.1265565415934907,0.1265565415934907,0.0,0,0,0.7889526565193381,bear_risk_on
2015-08-16,-0.0003347322801809,-0.1265565415934907,0.1265565415934907,0.0051086393874376,1,0,0.7836976667862097,bear_risk_on
2015-08-17,-0.0005978189557167,-1.3252378955730462,1.3252378955730462,-0.0013418618394943,0,1,0.7160636786762181,bear_risk_on
2015-08-18,-8.313355264328485e-05,1.021024587653554,1.021024587653554,0.0097987602435623,1,0,1.124648722346742,bear_neutral
2015-08-19,-0.000403112098942,-0.4467473812611758,0.4467473812611758,0.0218324609328942,1,0,-0.0563170547170549,bear_neutral
2015-08-20,-0.0007083156305228,-1.8367917819497248,1.8367917819497248,0.0057078560816491,1,0,0.6708241641051966,bear_risk_off
2015-08-21,-0.0003859177776404,-0.3501558163269559,0.3501558163269559,0.0,0,0,0.2248998759265371,sideways_risk_off
2015-08-22,-9.40064292993626e-05,0.9854538310226536,0.9854538310226536,0.0,0,0,0.5270885816521222,sideways_risk_off
2015-08-23,-9.40064292993626e-05,0.9853396365343152,0.9853396365343152,-0.0053609743613503,0,1,0.5233412028022124,sideways_risk_off
2015-08-24,-2.56511929259772e-05,1.2968130554903183,1.2968130554903183,-0.0132660988707656,0,1,0.1113697333537317,sideways_risk_off
2015-08-25,-2.38362376909452e-05,1.3051748467476545,1.3051748467476545,-0.0120206286014122,0,1,1.3315868053624746,sideways_risk_off
2015-08-26,-2.38362376909452e-05,1.3057897726617675,1.3057897726617675,-0.0019581243461776,0,1,0.9428523637673836,sideways_risk_off
2015-08-27,-8.313355264328485e-05,1.0325122671692994,1.0325122671692994,0.009487947034687,1,0,0.3356564183389123,sideways_risk_off
2015-08-28,-0.0004100928604,-0.4562856325253592,0.4562856325253592,0.0,0,0,0.8329564853062789,sideways_risk_off
2015-08-29,-9.40064292993626e-05,0.988855602951663,0.988855602951663,0.0,0,0,0.6800685089229566,sideways_risk_off
2015-08-30,-9.40064292993626e-05,0.98874106870458,0.98874106870458,-0.0013246789871851,0,1,0.6767477593929853,sideways_risk_off
2015-08-31,-8.313355264328485e-05,1.0381675974856452,1.0381675974856452,0.006254678566527,1,0,0.7308033491189443,sideways_risk_off
2015-09-01,-0.0003928985390984,-0.3791054286727202,0.3791054286727202,-0.0054596394278421,0,1,0.6179948680220236,sideways_risk_off
2015-09-02,-3.805038157106198e-05,1.2350789818537278,1.2350789818537278,-0.007800810049278,0,1,0.9959764481638494,sideways_risk_off
2015-09-03,-2.38362376909452e-05,1.2897999834216705,1.2897999834216705,-0.0027625335938252,0,1,0.6703404339264225,sideways_risk_off
2015-09-04,-8.313355264328485e-05,1.0093261683135286,1.0093261683135286,0.0,0,0,0.6400299960545575,sideways_risk_off
2015-09-05,-9.722087380753526e-05,0.9383756391411148,0.9383756391411148,0.0,0,0,0.6986502699955868,sideways_risk_off
2015-09-06,-0.0005419257398966,-1.1038282054109774,1.1038282054109774,0.0,0,0,0.697734762787591,bear_risk_off
2015-09-07,-0.0005387112953884,-1.08912046727866,1.08912046727866,-0.0001784489072115,0,1,0.6968870512941571,bear_risk_off
2015-09-08,-0.0005423319018864,-1.102127613787602,1.102127613787602,-0.0163776478142817,0,1,1.2325852851249106,bear_risk_off
2015-09-09,-0.0004379028154616,-0.6308891926641896,0.6308891926641896,0.006601325380056,1,0,0.7969924684110226,bear_risk_off
2015-09-10,-0.0007083156305228,-1.8717317880177304,1.8717317880177304,-0.0054225166758575,0,1,0.6335831628472057,bear_risk_off
2015-09-11,-0.0004872803769337,-0.850545084875057,0.850545084875057,0.0,0,0,0.3051231110686171,bear_risk_off
2015-09-12,-0.0005419257398966,-1.103804553364067,1.103804553364067,0.0,0,0,0.6502487866256507,bear_risk_off
2015-09-13,-0.0005419257398966,-1.103804553364067,1.103804553364067,0.0037988025902912,1,0,0.6465614415236052,bear_risk_off
2015-09-14,-0.0007092862027511,-1.869691762860424,1.869691762860424,-0.0044333047050876,0,1,0.8361459962396842,bear_risk_off
2015-09-15,-0.0005423319018864,-1.1056092459058853,1.1056092459058853,0.0147616559880036,1,0,1.90979355077328,bear_risk_off
2015-09-16,-0.0007083156305228,-1.8766146485851365,1.8766146485851365,-0.0016989961609832,0,1,0.986805265677131,bear_risk_off
2015-09-17,-0.0005411584486586,-1.0965085106663428,1.0965085106663428,0.0184450797910511,1,0,-0.6441307642698398,bear_risk_off
2015-09-18,-0.0007083156305228,-1.8511653598037088,1.8511653598037088,0.0,0,0,0.346138376503639,bear_risk_off
2015-09-19,-0.0005419257398966,-1.0789119081554648,1.0789119081554648,0.0,0,0,0.5312876254091365,bear_risk_off
2015-09-20,-0.0005419257398966,-1.0703392138818792,1.0703392138818792,-0.0044029659943767,0,1,0.5279146953944983,bear_risk_off
2015-09-21,-0.0005423319018864,-1.0636851467222164,1.0636851467222164,-0.0071741825671687,0,1,1.1877784144574937,bear_risk_off
2015-09-22,-0.0004379028154616,-0.5866529094686955,0.5866529094686955,0.0058495035799836,1,0,0.2754253583155743,bear_risk_off
2015-09-23,-0.0003928985390984,-0.3777524422269462,0.3777524422269462,0.0194283460726494,1,0,0.7288241199673398,sideways_risk_off
2015-09-24,-0.0004100928604,-0.4509260306177046,0.4509260306177046,-0.0067832670164685,0,1,0.4862917873399844,sideways_risk_off
2015-09-25,-2.38362376909452e-05,1.3009304204398653,1.3009304204398653,0.0,0,0,1.1193942109770183,sideways_risk_off
