Date,Market_State,pred_z,regime_weight,pred_z_weighted,raw_signal,signal,hold_day,position,y_next_log_return,strategy_ret,equity
2024-07-22,bull_risk_off,-0.5273139788287485,0.0,-0.0,0,0,0,4.753689750837566e-20,0.0052537742255047,5.8871764409362485e-22,1.0067869689954128
2024-07-23,bull_risk_off,1.3899414437258488,0.0,0.0,0,0,0,1.9014759003350264e-20,0.0036115154696882,1.5741917147996844e-22,1.0067869689954128
2024-07-24,bull_risk_off,-0.34617506561001204,0.0,-0.0,0,0,0,7.605903601340105e-21,-0.025771655326313,-4.957462428482549e-22,1.0067869689954128
2024-07-25,bull_risk_off,0.844474618318303,0.0,0.0,0,0,0,3.0423614405360423e-21,0.0118770172261182,8.805367701290886e-23,1.0067869689954128
2024-07-26,bull_risk_off,1.6282750561832593,0.0,0.0,0,0,0,1.216944576214417e-21,0.0,-9.127084321608128e-25,1.0067869689954128
2024-07-27,bull_risk_off,0.5879970663142284,0.0,0.0,0,0,0,4.867778304857668e-22,0.0,-3.6508337286432505e-25,1.0067869689954128
2024-07-28,bull_risk_off,0.5820494708845183,0.0,0.0,0,0,0,1.9471113219430674e-22,-0.0011350771496754,-6.985637414986894e-25,1.0067869689954128
2024-07-29,bull_risk_off,0.6087107958376385,0.0,0.0,0,0,0,7.78844528777227e-23,0.0115844930240167,2.1972164129450478e-24,1.0067869689954128
2024-07-30,bull_risk_off,1.3613858530367555,0.0,0.0,0,0,0,3.115378115108908e-23,0.0088999863054093,6.698052281527112e-25,1.0067869689954128
2024-07-31,bull_risk_off,1.6266656979483902,0.0,0.0,0,0,0,1.2461512460435631e-23,0.0034968666714193,9.959448465060746e-26,1.0067869689954128
2024-08-01,bull_risk_off,1.6451849104757357,0.0,0.0,0,0,0,4.984604984174253e-24,-0.0038266342058694,-5.142410357610142e-26,1.0067869689954128
2024-08-02,bull_risk_off,1.918308051632047,0.0,0.0,0,0,0,1.9938419936697013e-24,0.0,-1.4953814952522757e-27,1.0067869689954128
2024-08-03,bull_risk_off,1.7841274625332546,0.0,0.0,0,0,0,7.975367974678805e-25,0.0,-5.9815259810091035e-28,1.0067869689954128
2024-08-04,bull_risk_off,1.7673622323027733,0.0,0.0,0,0,0,3.190147189871522e-25,-0.0099433227933186,-8.16942685601306e-27,1.0067869689954128
2024-08-05,bull_risk_off,1.8976039393555915,0.0,0.0,0,0,0,1.276058875948609e-25,-0.0052600325298974,-1.773732215084644e-27,1.0067869689954128
2024-08-06,bull_risk_off,0.6332926533113737,0.0,0.0,0,0,0,5.104235503794436e-26,0.0005857820785535,3.646747579252364e-29,1.0067869689954128
2024-08-07,bull_risk_off,0.4756655323977982,0.0,0.0,0,0,0,2.0416942015177745e-26,0.0131736487912483,6.57101352236699e-28,1.0067869689954128
2024-08-08,bull_risk_off,0.27220267444400686,0.0,0.0,0,0,0,8.166776806071099e-27,0.0040789240987594,7.71540742041285e-29,1.0067869689954128
2024-08-09,bull_risk_off,1.5554897909421481,0.0,0.0,0,0,0,3.2667107224284396e-27,0.0,-2.4500330418213295e-30,1.0067869689954128
2024-08-10,bull_risk_off,1.455737707858559,0.0,0.0,0,0,0,1.3066842889713759e-27,0.0,-9.80013216728532e-31,1.0067869689954128
2024-08-11,bull_risk_off,1.442979926855546,0.0,0.0,0,0,0,5.226737155885504e-28,0.0123813223298774,1.5786474078449858e-29,1.0067869689954128
2024-08-12,bull_risk_off,1.49693014104638,0.0,0.0,0,0,0,2.090694862354202e-28,0.0017447607957181,7.5513849323465005e-31,1.0067869689954128
2024-08-13,bull_risk_off,1.5361990463728672,0.0,0.0,0,0,0,8.362779449416808e-29,-0.0111291378464377,-2.3894839776685266e-30,1.0067869689954128
2024-08-14,bull_risk_off,1.8181530331854183,0.0,0.0,0,0,0,3.3451117797667236e-29,0.0056005035501681,4.432694216090662e-31,1.0067869689954128
2024-08-15,bull_risk_off,-1.4390263027568797,0.0,-0.0,0,0,0,1.3380447119066894e-29,0.0183780434342003,6.04730760468779e-31,1.0067869689954128
2024-08-16,bull_risk_off,1.204176672526906,0.0,0.0,0,0,0,5.3521788476267576e-30,0.0,-4.0141341357200685e-33,1.0067869689954128
2024-08-17,bull_risk_off,1.3940290441345682,0.0,0.0,0,0,0,2.1408715390507032e-30,0.0,-1.6056536542880273e-33,1.0067869689954128
2024-08-18,bull_risk_off,1.337145025982452,0.0,0.0,0,0,0,8.563486156202814e-31,0.0012798781468466,2.0977932363216314e-33,1.0067869689954128
2024-08-19,bull_risk_off,1.5428580522958244,0.0,0.0,0,0,0,3.4253944624811256e-31,0.0037900744793879,2.9887204488355025e-33,1.0067869689954128
2024-08-20,bull_risk_off,1.4104731971143685,0.0,0.0,0,0,0,1.3701577849924504e-31,-0.0011555062457908,-4.9856830344384985e-34,1.0067869689954128
2024-08-21,bull_risk_off,1.5663340345060706,0.0,0.0,0,0,0,5.480631139969802e-32,-0.0118301867585524,-1.6620269820642906e-33,1.0067869689954128
2024-08-22,bull_risk_off,0.9895668808332092,0.0,0.0,0,0,0,2.192252455987921e-32,0.0118301867585525,6.319270059859031e-34,1.0067869689954128
2024-08-23,bull_risk_off,1.3705371329595466,0.0,0.0,0,0,0,8.769009823951685e-33,0.0,-6.576757367963763e-36,1.0067869689954128
2024-08-24,bull_risk_off,1.5574866558606715,0.0,0.0,0,0,0,3.507603929580674e-33,0.0,-2.6307029471855055e-36,1.0067869689954128
2024-08-25,bull_risk_off,1.545957793226672,0.0,0.0,0,0,0,1.4030415718322697e-33,0.0037007062676253,1.192833066767213e-35,1.0067869689954128
2024-08-26,bull_risk_off,1.4009098600519228,0.0,0.0,0,0,0,5.612166287329079e-34,-0.0006754280474303,-1.3685661008758898e-36,1.0067869689954128
2024-08-27,bull_risk_off,1.5220574365770743,0.0,0.0,0,0,0,2.2448665149316317e-34,-0.005979686942712,-3.52426473548689e-36,1.0067869689954128
2024-08-28,bull_risk_off,1.681020741603151,0.0,0.0,0,0,0,8.979466059726527e-35,0.0098275807335464,2.1388146957046064e-36,1.0067869689954128
2024-08-29,bull_risk_off,1.2959059917746696,0.0,0.0,0,0,0,3.591786423890611e-35,-0.0127105613999512,-1.1682789450884985e-36,1.0067869689954128
